"solver_configuration","training_optimizer","selector_solver","selector_preconditioner","adam_selection_mode","safe_training_constraint_mode","reference_composition","seed","safe_epsilon_multiplier","safe_cost_gamma","rho","log10_rho","reference_kl","fisher_cost","fisher_cost_milli","target_accuracy","reference_drift_pp"
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,1,0.01,2.28640666291209e-05,-4.64084652295577,9.33685310152224,0.000786535849329084,0.786535849329084,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,1,0.1,0.000262459320747386,-3.58093799947318,8.7503740702157,0.000847248826175928,0.847248826175928,0.44921875,17.812437953283
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,1,0.1,0.000164130677500715,-3.78481023781284,8.97301319234278,0.000829091062769294,0.829091062769294,0.421875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,1,0.1,0.000228640666291209,-3.64084652295577,9.40239750154129,0.000797204382251948,0.797204382251948,0.484375,10.8096890854244
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,1,1,0.00262459320747386,-2.58093799947318,9.69519029392142,0.00083118979819119,0.83118979819119,0.47265625,10.9834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,1,1,0.00164130677500715,-2.78481023781284,9.28694854685968,0.000846042821649462,0.846042821649462,0.453125,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,1,1,0.00228640666291209,-2.64084652295577,9.5708329341128,0.000811139063443989,0.811139063443989,0.4453125,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,2,0.01,0.000104983728298954,-3.97887800814521,8.97359583631797,0.000839501793961972,0.839501793961972,0.43359375,20.022111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,2,0.01,6.56522710002861e-05,-4.18275024648487,8.70339629192845,0.000844824709929526,0.844824709929526,0.42578125,2.27993689147559
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,2,0.01,9.14562665164837e-05,-4.03878653162781,9.03479872777968,0.00079335697228089,0.79335697228089,0.4375,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,2,0.1,0.00104983728298954,-2.97887800814521,9.01984318735374,0.000832486373838037,0.832486373838037,0.46484375,12.5191094207904
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,2,0.1,0.00154973385762836,-2.80974287866049,9.7388463379987,0.000833114609122276,0.833114609122276,0.4375,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,2,0.1,0.000914562665164837,-3.03878653162781,9.41829133145992,0.0007984948460944,0.7984948460944,0.44921875,-8.28122000548471
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",42,2,1,0.0104983728298954,-1.97887800814521,9.28221100321846,0.000813533493783325,0.813533493783325,0.4609375,7.522111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",43,2,1,0.0154973385762836,-1.80974287866049,9.01633884249646,0.000806718540843576,0.806718540843576,0.40234375,-3.55339644185774
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T_K",44,2,1,0.00914562665164837,-2.03878653162781,9.68309960147362,0.000775959575548768,0.775959575548768,0.41796875,-9.19031091457562
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,0.5,0.01,9.84703414810379e-06,-5.00669455600687,9.49441851373899,0.000670145382173359,0.670145382173359,0.3984375,23.4834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,0.5,0.01,4.73448968978719e-06,-5.32472682486621,9.22635421320461,0.000680096040014178,0.680096040014178,0.40234375,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,0.5,0.01,5.71601665728023e-06,-5.24290651428374,9.75202355936944,0.000605910434387624,0.605910434387624,0.44921875,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,0.5,0.1,6.56148301868465e-05,-4.18299799080114,9.2394949038387,0.000663430721033365,0.663430721033365,0.4453125,17.2334470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,0.5,0.1,4.10326693751788e-05,-4.3868702291408,9.3524418355345,0.000678838870953768,0.678838870953768,0.43359375,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,0.5,0.1,5.71601665728023e-05,-4.24290651428374,9.16653783549501,0.000588312919717282,0.588312919717282,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,0.5,1,0.000672672752241585,-3.17219616380046,9.20479558317592,0.000643200590275228,0.643200590275228,0.46484375,20.2842609359419
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,0.5,1,0.000410326693751788,-3.3868702291408,9.44833487604976,0.000653679890092462,0.653679890092462,0.44921875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,0.5,1,0.000571601665728023,-3.24290651428374,9.27052424737038,0.000611956231296062,0.611956231296062,0.4765625,2.62787090360619
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,1,0.01,2.62459320747386e-05,-4.58093799947317,9.58707246360647,0.000644523883238435,0.644523883238435,0.41015625,17.4325709067493
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,1,0.01,1.64130677500715e-05,-4.78481023781284,9.44142442619469,0.00064012611983344,0.64012611983344,0.39453125,2.27993689147559
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,1,0.01,2.28640666291209e-05,-4.64084652295577,9.33685310152224,0.000601625652052462,0.601625652052462,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,1,0.1,0.000262459320747386,-3.58093799947318,8.7503740702157,0.00066430470906198,0.66430470906198,0.44921875,17.812437953283
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,1,0.1,0.000164130677500715,-3.78481023781284,8.97301319234278,0.000651421840302646,0.651421840302646,0.421875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,1,0.1,0.000228640666291209,-3.64084652295577,9.40239750154129,0.000611816358286887,0.611816358286887,0.484375,10.8096890854244
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,1,1,0.00262459320747386,-2.58093799947318,9.69519029392142,0.000649921828880906,0.649921828880906,0.47265625,10.9834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,1,1,0.00164130677500715,-2.78481023781284,9.28694854685968,0.000665645289700478,0.665645289700478,0.453125,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,1,1,0.00228640666291209,-2.64084652295577,9.5708329341128,0.00062164367409423,0.62164367409423,0.4453125,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,2,0.01,0.000104983728298954,-3.97887800814521,8.97359583631797,0.000661241356283426,0.661241356283426,0.43359375,20.022111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,2,0.01,6.56522710002861e-05,-4.18275024648487,8.70339629192845,0.000663769314996898,0.663769314996898,0.42578125,2.27993689147559
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,2,0.01,9.14562665164837e-05,-4.03878653162781,9.03479872777968,0.000609526468906552,0.609526468906552,0.4375,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,2,0.1,0.00104983728298954,-2.97887800814521,9.01984318735374,0.000654083443805575,0.654083443805575,0.46484375,12.5191094207904
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,2,0.1,0.00154973385762836,-2.80974287866049,9.7388463379987,0.000656477001029998,0.656477001029998,0.4375,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,2,0.1,0.000914562665164837,-3.03878653162781,9.41829133145992,0.000614403979852796,0.614403979852796,0.44921875,-8.28122000548471
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",42,2,1,0.0104983728298954,-1.97887800814521,9.28221100321846,0.000640856451354921,0.640856451354921,0.4609375,7.522111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",43,2,1,0.0154973385762836,-1.80974287866049,9.01633884249646,0.000634838885162026,0.634838885162026,0.40234375,-3.55339644185774
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","T_K",44,2,1,0.00914562665164837,-2.03878653162781,9.68309960147362,0.000595229212194681,0.595229212194681,0.41796875,-9.19031091457562
